DESCRIBES WHAT A MICROBIT IS,0,MicroBit,NOTES:
LINKS TO LEARNING RESOURCES,0,,DESIGN PROCESS =  Present your sketches and computer designs. Describe your intentions and challenges.
IDENTIFIES KEY COMPONENTS ,0,,TECHNICAL PROCESS =  How did you set up the machine or tool? How does it work? Describe any challenges.
IDENTIFIES KEY FEATURES,0,,MATERIAL PROCESS = How did you choose your materials? What qualities are you looking for?
CONDUCTS EXPERIMENTS  / TESTS,0,,
PRESENTS TECHNICAL PARAMETERS OF CODE,0,,
INCLUDES LINKS TO CODE,0,,
MAKES CONNECTIONS TO FINAL PROJECT,0,,
CLARITY & QUALITY  OF TEXT & IMAGE,0,,
DETAIL - PRESENTS MULTIPLE STEPS  ,0,,
,0%,,
